Date,Open,High,Low,Close,Close_EWMA,Close_50_MA,Adj_Close,Volume
2017-06-19,35.915,36.685,35.915,36.585,36.85352,37.17065,34.77954,130165600
2017-06-20,36.7175,36.7175,36.235,36.2525,36.74424,37.179,34.46346,99600400
2017-06-21,36.38,36.5175,36.1525,36.4675,36.69392,37.1925,34.66784,85063200
2017-06-22,36.4425,36.675,36.28,36.4075,36.64185,37.2125,34.61081,76425200
2017-06-23,36.2825,36.79,36.2775,36.57,36.62878,37.2349,34.76527,141757600
2017-06-26,36.7925,37.07,36.345,36.455,36.59719,37.25875,34.65596,102769600
2017-06-27,36.2525,36.54,35.905,35.9325,36.47634,37.26825,34.15924,99047600
2017-06-28,36.1225,36.5275,35.79,36.4575,36.47291,37.2914,34.65833,88329600
2017-06-29,36.1775,36.2825,35.57,35.92,36.37238,37.3064,34.14735,125997600
2017-06-30,36.1125,36.24,35.945,36.005,36.30558,37.3143,34.22817,92096400
2017-07-03,36.22,36.325,35.775,35.875,36.2273,37.32045,34.10458,57111200
2017-07-05,35.9225,36.1975,35.68,36.0225,36.19006,37.3227,34.2448,86278400
2017-07-06,35.755,35.875,35.6025,35.6825,36.09778,37.3137,33.92158,96515200
2017-07-07,35.725,36.1875,35.725,36.045,36.08818,37.3162,34.26619,76806800
2017-07-10,36.0275,36.4875,35.8425,36.265,36.12033,37.32255,34.47534,84362400
2017-07-11,36.1825,36.4625,36.095,36.3825,36.168,37.33195,34.58704,79127200
2017-07-12,36.4675,36.545,36.205,36.435,36.21654,37.32775,34.63695,99538000
2017-07-13,36.375,37.1225,36.36,36.9425,36.34854,37.32905,35.1194,100797600
2017-07-14,36.9925,37.3325,36.8325,37.26,36.51426,37.33895,35.42123,80528400
2017-07-17,37.205,37.725,37.1425,37.39,36.67348,37.3541,35.54481,95174000
2017-07-18,37.3,37.5325,37.1675,37.52,36.82739,37.3597,35.6684,71475200
2017-07-19,37.62,37.855,37.4875,37.755,36.99605,37.34975,35.89181,83692000
2017-07-20,37.875,37.935,37.5475,37.585,37.10313,37.3315,35.73019,68974800
2017-07-21,37.4975,37.61,37.22,37.5675,37.18756,37.31655,35.71356,105010400
2017-07-24,37.645,38.11,37.475,38.0225,37.33937,37.30725,36.1461,85972800
2017-07-25,37.95,38.46,37.95,38.185,37.49312,37.29045,36.30058,75415600
2017-07-26,38.3375,38.4825,38.265,38.365,37.65164,37.27925,36.4717,63124000
2017-07-27,38.4375,38.4975,36.825,37.64,37.64953,37.2547,35.78248,129905200
2017-07-28,37.4725,37.5575,37.2975,37.375,37.59961,37.25095,35.53055,68854800
2017-07-31,37.475,37.5825,37.0325,37.1825,37.52377,37.2319,35.34756,79383600
2017-08-01,37.275,37.555,37.1025,37.5125,37.52172,37.21685,35.66127,141474400
2017-08-02,39.82,39.9375,39.04,39.285,37.84232,37.2326,37.34629,279747200
2017-08-03,39.2625,39.3025,38.755,38.8925,38.03326,37.24145,36.97317,108389200
2017-08-04,39.0175,39.35,38.9225,39.0975,38.22676,37.2567,37.16805,82239600
2017-08-07,39.265,39.73,39.1675,39.7025,38.49508,37.2814,37.7432,87481200
2017-08-08,39.65,40.4575,39.5675,40.02,38.77234,37.31375,38.04502,144823600
2017-08-09,39.815,40.3175,39.7775,40.265,39.04373,37.3507,38.27794,104526000
2017-08-10,39.975,40,38.6575,38.83,39.00487,37.3635,37.05871,163217200
2017-08-11,39.15,39.6425,39.0175,39.37,39.07126,37.385,37.57407,105028400
2017-08-14,39.83,40.0525,39.6875,39.9625,39.2333,37.407,38.13956,88490800
2017-08-15,40.165,40.55,40.035,40.4,39.44543,37.44535,38.55709,117862000
2017-08-16,40.485,40.6275,40.0375,40.2375,39.58944,37.47785,38.402,110686400
2017-08-17,40.13,40.1775,39.46,39.465,39.56682,37.4903,37.66475,111762400
2017-08-18,39.465,39.875,39.18,39.375,39.53194,37.50285,37.57885,109712400
2017-08-21,39.375,39.4725,38.7775,39.3025,39.49022,37.544,37.50966,105474000
2017-08-22,39.5575,40,39.505,39.945,39.57291,37.6158,38.12284,86418400
2017-08-23,39.7675,40.1175,39.72,39.995,39.64965,37.68275,38.17056,77596400
